,선수명,경기수,전체 출전시간,득점 전체,득점 평균,2점슛 성공,2점슛 시도,2점슛 성공률,3점슛 성공,3점슛 시도,3점슛 성공률,자유투 성공,자유투 시도,자유투 성공률,공격 리바운드,수비 리바운드,평균 리바운드,전체 어시스트,평균 어시스트,스틸,블록,덩크슛 성공,덩크슛 시도,파울(자유튜유),파울(자유투무),IDF,테크니컬 파울,굿디펜스,속공,FBF,턴오버,팀 리바운드,팀 턴오버,대회년도,대학교,대회명
566,김한석,5,0:42:53,17,3,4,7,57.10%,3,6,50.00%,0,0,0.00%,0,2,0,1,0.2,3,0,0,0,0,3,0,0,0,0,0,2,0,0,2006,한양대학교,MBC배 대학리그
567,김한석,4,1:27:19,7,1,1,4,25.00%,1,5,20.00%,2,4,50.00%,1,6,1,3,0.8,2,0,0,0,5,4,0,0,1,0,0,8,0,0,2007,한양대학교,MBC배 대학리그
568,김한석,3,0:20:57,5,1,2,4,50.00%,0,3,0.00%,1,2,50.00%,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,2008,한양대학교,MBC배 대학리그
569,김한석,2,0:12:57,0,0,0,0,0.00%,0,0,0.00%,0,0,0.00%,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2009,한양대학교,MBC배 대학리그
570,김한솔,1,0:07:18,4,4,2,2,100.00%,0,0,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2014,연세대학교,대학농구리그
571,김한솔,16,1:21:39,15,0,7,15,46.70%,0,1,0.00%,1,2,50.00%,12,9,1,1,0.1,0,0,0,0,5,2,0,0,0,0,0,9,0,0,2015,연세대학교,대학농구리그
572,김한솔,5,0:21:42,7,1,2,5,40.00%,1,1,100.00%,0,0,0.00%,2,4,1,0,0,2,0,0,0,0,1,0,0,1,0,0,3,0,0,2015,연세대학교,MBC배 대학리그
573,김한솔,5,1:21:57,15,3,7,21,33.30%,0,0,0.00%,1,1,100.00%,7,9,3,5,1,4,1,0,0,6,7,0,0,1,1,0,6,2,0,2017,상명대학교,대학농구리그
574,김한솔,3,1:22:05,29,9,13,31,41.90%,0,0,0.00%,3,4,75.00%,8,5,4,5,1.7,6,1,0,0,3,4,0,0,0,1,2,7,1,1,2017,상명대학교,MBC배 대학리그
575,김한솔,16,8:12:18,241,15,99,197,50.30%,2,7,28.60%,37,67,55.20%,58,75,8,27,1.7,18,8,0,0,22,20,0,0,0,1,2,46,10,0,2018,상명대학교,대학농구리그
576,김한솔,4,2:10:15,57,14,26,52,50.00%,0,1,0.00%,5,10,50.00%,16,18,8,7,1.8,3,1,0,0,4,8,0,0,0,2,1,10,0,0,2018,상명대학교,MBC배 대학리그
577,김한영,16,2:21:54,54,3,6,8,75.00%,14,46,30.40%,0,0,0.00%,3,20,1,4,0.3,5,2,0,0,12,6,0,0,0,6,2,6,3,1,2018,연세대학교,대학농구리그
578,김한영,5,0:18:11,11,2,1,1,100.00%,3,7,42.90%,0,0,0.00%,0,1,0,3,0.6,0,0,0,0,1,0,0,0,0,1,0,2,0,0,2018,연세대학교,MBC배 대학리그
579,김한영,12,1:44:31,34,2,9,18,50.00%,4,15,26.70%,4,6,66.70%,14,16,2,4,0.3,0,1,0,0,12,4,0,0,1,3,2,7,3,0,2019,연세대학교,대학농구리그
580,김한영,4,0:21:09,15,3,3,3,100.00%,3,9,33.30%,0,0,0.00%,1,2,0,2,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2019,연세대학교,MBC배 대학리그
581,김한영,3,0:40:58,16,5,2,3,66.70%,4,10,40.00%,0,0,0.00%,2,11,4,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,2020,연세대학교,대학농구리그
582,김한영,3,0:20:47,3,1,0,1,0.00%,1,2,50.00%,0,2,0.00%,3,6,3,1,0.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,연세대학교,대학농구리그
583,김한영,2,0:24:44,2,1,1,1,100.00%,0,5,0.00%,0,0,0.00%,4,5,4,3,1.5,1,0,0,0,3,1,0,0,0,1,0,1,2,0,2021,연세대학교,대학농구리그
584,김한영,3,0:33:18,8,2,1,1,100.00%,2,14,14.30%,0,0,0.00%,1,5,2,2,0.7,1,2,0,0,1,0,0,0,0,1,0,1,0,0,2021,연세대학교,대학농구리그
585,김현민,4,2:21:17,67,16,28,39,71.80%,0,1,0.00%,11,15,73.30%,23,18,10,0,0,5,2,0,0,8,4,0,0,2,0,0,5,0,0,2007,단국대학교,MBC배 대학리그
586,김현민,5,2:29:06,66,13,27,46,58.70%,2,9,22.20%,6,11,54.50%,21,21,8,1,0.2,2,9,0,0,9,5,0,0,7,0,0,13,0,0,2008,단국대학교,MBC배 대학리그
587,김현민,5,2:40:03,96,19,30,42,71.40%,9,24,37.50%,9,15,60.00%,17,27,8,0,0,1,3,0,0,5,9,0,0,4,0,0,10,0,0,2009,단국대학교,MBC배 대학리그
588,김현민,3,1:41:25,46,15,15,27,55.60%,1,3,33.30%,13,21,61.90%,12,20,10,1,0.3,2,5,0,0,9,5,0,0,9,0,0,3,0,0,2010,단국대학교,MBC배 대학리그
589,김현수,2,0:26:04,2,1,1,6,16.70%,0,1,0.00%,0,0,0.00%,1,0,0,1,0.5,1,0,0,0,3,0,0,0,1,0,0,2,0,0,2009,중앙대학교,MBC배 대학리그
590,김현수,5,0:40:33,13,2,0,0,0.00%,4,10,40.00%,1,2,50.00%,0,2,0,1,0.2,1,0,0,0,0,1,0,0,1,0,0,5,0,0,2010,중앙대학교,MBC배 대학리그
591,김현수,20,6:44:16,143,7,31,55,56.40%,23,74,31.10%,12,16,75.00%,6,11,0,40,2,15,1,0,0,10,11,0,0,12,19,6,25,0,0,2011,중앙대학교,대학농구리그
592,김현수,5,1:45:03,48,9,13,19,68.40%,7,27,25.90%,1,4,25.00%,4,3,1,9,1.8,3,1,0,0,1,4,0,0,1,8,4,5,0,0,2011,중앙대학교,MBC배 대학리그
593,김현수,22,11:12:30,278,12,62,107,57.90%,44,138,31.90%,22,32,68.80%,13,32,2,43,2,22,3,0,0,15,33,0,0,15,30,18,28,0,0,2012,중앙대학교,대학농구리그
594,김현수,3,1:33:53,44,14,13,19,68.40%,5,16,31.30%,3,6,50.00%,0,6,2,15,5,2,1,0,0,3,2,0,0,1,8,3,7,0,0,2012,중앙대학교,MBC배 대학리그
595,김현중,2,0:46:13,17,8,6,9,66.70%,1,2,50.00%,2,2,100.00%,1,6,3,5,2.5,0,1,0,0,2,3,0,0,0,0,0,12,0,0,2002,동국대학교,MBC배 대학리그
596,김현호,7,4:09:52,136,19,46,67,68.70%,6,18,33.30%,26,37,70.30%,6,35,5,5,0.7,5,0,0,0,15,9,0,0,7,0,0,21,0,0,2007,연세대학교,MBC배 대학리그
597,김현호,6,2:47:04,54,9,19,36,52.80%,2,13,15.40%,10,18,55.60%,3,10,2,5,0.8,4,0,0,0,10,9,0,0,5,0,0,15,0,0,2008,연세대학교,MBC배 대학리그
598,김형묵,4,0:35:04,12,3,0,1,0.00%,4,13,30.80%,0,0,0.00%,1,3,1,0,0,1,0,0,0,2,1,0,0,0,0,0,1,0,0,2009,건국대학교,MBC배 대학리그
599,김형묵,4,1:34:11,28,7,2,6,33.30%,7,15,46.70%,3,4,75.00%,5,4,2,1,0.3,5,0,0,0,4,5,0,0,4,0,0,5,0,0,2010,건국대학교,MBC배 대학리그
