,선수명,경기수,전체 출전시간,득점 전체,득점 평균,2점슛 성공,2점슛 시도,2점슛 성공률,3점슛 성공,3점슛 시도,3점슛 성공률,자유투 성공,자유투 시도,자유투 성공률,공격 리바운드,수비 리바운드,평균 리바운드,전체 어시스트,평균 어시스트,스틸,블록,덩크슛 성공,덩크슛 시도,파울(자유튜유),파울(자유투무),IDF,테크니컬 파울,굿디펜스,속공,FBF,턴오버,팀 리바운드,팀 턴오버,대회년도,대학교
161,김기윤,16.0,04:54:13,98.0,6.0,21.0,47.0,44.7%,14.0,43.0,32.6%,14.0,19.0,73.7%,4.0,17.0,1.0,35.0,2.2,7.0,0.0,0.0,0.0,12.0,20.0,0.0,0.0,8.0,9.0,5.0,26.0,20.0,3.0,2013.0,연세대학교
162,김기윤,4.0,01:32:25,18.0,4.0,5.0,11.0,45.5%,0.0,3.0,0.0%,8.0,9.0,88.9%,2.0,8.0,2.0,12.0,3.0,2.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,5.0,3.0,1.0,9.0,0.0,0.0,2011.0,연세대학교
163,김낙현,5.0,01:58:30,26.0,5.0,7.0,16.0,43.8%,4.0,18.0,22.2%,0.0,0.0,0.0%,4.0,11.0,3.0,7.0,1.4,5.0,1.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,2.0,3.0,4.0,12.0,0.0,2014.0,고려대학교
164,김낙현,5.0,02:07:37,42.0,8.0,6.0,17.0,35.3%,8.0,15.0,53.3%,6.0,7.0,85.7%,0.0,20.0,4.0,12.0,2.4,8.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,3.0,1.0,0.0,3.0,12.0,0.0,2015.0,고려대학교
165,김낙현,16.0,06:28:15,119.0,7.0,33.0,52.0,63.5%,15.0,61.0,24.6%,8.0,16.0,50.0%,16.0,28.0,2.0,19.0,1.2,29.0,1.0,0.0,0.0,19.0,20.0,0.0,0.0,10.0,7.0,1.0,14.0,25.0,4.0,2015.0,고려대학교
166,김낙현,5.0,02:55:04,52.0,10.0,8.0,21.0,38.1%,8.0,21.0,38.1%,12.0,13.0,92.3%,3.0,14.0,3.0,16.0,3.2,15.0,2.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,1.0,2.0,4.0,13.0,1.0,2017.0,고려대학교
167,김낙현,15.0,04:26:29,65.0,4.0,21.0,39.0,53.8%,6.0,28.0,21.4%,5.0,9.0,55.6%,9.0,21.0,2.0,11.0,0.7,16.0,1.0,0.0,0.0,9.0,22.0,0.0,0.0,8.0,8.0,0.0,14.0,27.0,3.0,2014.0,고려대학교
168,김낙현,16.0,08:03:11,183.0,11.0,55.0,99.0,55.6%,17.0,58.0,29.3%,22.0,30.0,73.3%,23.0,44.0,4.0,31.0,1.9,22.0,2.0,0.0,0.0,10.0,21.0,0.0,0.0,8.0,7.0,2.0,12.0,17.0,2.0,2016.0,고려대학교
169,김낙현,16.0,08:43:47,223.0,13.0,55.0,110.0,50.0%,28.0,87.0,32.2%,29.0,34.0,85.3%,14.0,70.0,5.0,60.0,3.8,32.0,3.0,0.0,0.0,12.0,17.0,0.0,0.0,3.0,10.0,4.0,29.0,22.0,5.0,2017.0,고려대학교
170,김낙현,4.0,01:53:04,67.0,16.0,19.0,25.0,76.0%,6.0,14.0,42.9%,11.0,11.0,100.0%,0.0,9.0,2.0,5.0,1.3,9.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,2.0,6.0,0.0,5.0,4.0,0.0,2016.0,고려대학교
171,김대환,2.0,00:15:55,0.0,0.0,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1999.0,고려대학교
172,김대환,4.0,00:52:23,11.0,2.0,4.0,6.0,66.7%,1.0,5.0,20.0%,0.0,0.0,0.0%,0.0,6.0,1.0,1.0,0.3,0.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2000.0,고려대학교
173,김도수,4.0,02:13:36,75.0,18.0,22.0,33.0,66.7%,8.0,25.0,32.0%,7.0,10.0,70.0%,9.0,8.0,4.0,5.0,1.3,6.0,1.0,0.0,0.0,8.0,3.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,2003.0,경희대학교
174,김도수,3.0,00:55:34,18.0,6.0,5.0,7.0,71.4%,2.0,7.0,28.6%,2.0,3.0,66.7%,2.0,5.0,2.0,3.0,1.0,4.0,1.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2001.0,경희대학교
175,김도수,4.0,01:04:31,16.0,4.0,3.0,6.0,50.0%,2.0,7.0,28.6%,4.0,4.0,100.0%,2.0,3.0,1.0,5.0,1.3,5.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,2000.0,경희대학교
176,김도수,5.0,01:37:11,42.0,8.0,7.0,12.0,58.3%,8.0,24.0,33.3%,4.0,4.0,100.0%,4.0,10.0,2.0,11.0,2.2,4.0,3.0,0.0,0.0,6.0,3.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,2002.0,경희대학교
177,김동량,6.0,02:48:54,44.0,7.0,19.0,33.0,57.6%,0.0,0.0,0.0%,6.0,8.0,75.0%,18.0,28.0,7.0,2.0,0.3,5.0,8.0,0.0,0.0,8.0,9.0,0.0,0.0,6.0,0.0,0.0,9.0,0.0,0.0,2009.0,동국대학교
178,김동량,3.0,01:43:26,43.0,14.0,19.0,35.0,54.3%,0.0,0.0,0.0%,5.0,8.0,62.5%,24.0,13.0,12.0,2.0,0.7,1.0,1.0,0.0,0.0,3.0,5.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2010.0,동국대학교
179,김동량,4.0,02:13:36,52.0,13.0,23.0,38.0,60.5%,0.0,1.0,0.0%,6.0,16.0,37.5%,27.0,27.0,13.0,3.0,0.8,2.0,2.0,0.0,0.0,7.0,7.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0,0.0,2008.0,동국대학교
180,김동량,3.0,00:50:04,8.0,2.0,3.0,6.0,50.0%,0.0,0.0,0.0%,2.0,8.0,25.0%,5.0,7.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2007.0,동국대학교
181,김동민,7.0,02:52:07,40.0,5.0,17.0,37.0,45.9%,0.0,0.0,0.0%,6.0,14.0,42.9%,18.0,18.0,5.0,8.0,1.1,2.0,4.0,0.0,0.0,15.0,14.0,0.0,0.0,6.0,0.0,0.0,10.0,0.0,0.0,2007.0,고려대학교
182,김동민,5.0,00:22:22,11.0,2.0,5.0,6.0,83.3%,0.0,0.0,0.0%,1.0,2.0,50.0%,3.0,5.0,1.0,1.0,0.2,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2005.0,고려대학교
183,김동민,5.0,01:44:03,24.0,4.0,10.0,20.0,50.0%,0.0,0.0,0.0%,4.0,5.0,80.0%,10.0,16.0,5.0,1.0,0.2,2.0,5.0,0.0,0.0,12.0,6.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,2006.0,고려대학교
184,김동우,5.0,02:00:51,48.0,9.0,13.0,31.0,41.9%,3.0,11.0,27.3%,13.0,20.0,65.0%,6.0,12.0,3.0,2.0,0.4,4.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,3.0,0.0,0.0,16.0,0.0,0.0,2006.0,한양대학교
185,김동우,3.0,01:50:00,37.0,12.0,11.0,25.0,44.0%,4.0,14.0,28.6%,3.0,6.0,50.0%,10.0,9.0,6.0,4.0,1.3,3.0,1.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2010.0,조선대학교
186,김동우,3.0,01:50:10,42.0,14.0,6.0,21.0,28.6%,9.0,24.0,37.5%,3.0,4.0,75.0%,4.0,14.0,6.0,1.0,0.3,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,2011.0,조선대학교
187,김동우,3.0,01:20:53,40.0,13.0,11.0,23.0,47.8%,3.0,10.0,30.0%,9.0,12.0,75.0%,5.0,13.0,6.0,3.0,1.0,1.0,5.0,0.0,0.0,3.0,4.0,0.0,0.0,4.0,0.0,0.0,9.0,0.0,0.0,2000.0,연세대학교
188,김동우,3.0,01:17:13,21.0,7.0,8.0,13.0,61.5%,0.0,5.0,0.0%,5.0,6.0,83.3%,0.0,8.0,2.0,9.0,3.0,4.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,4.0,0.0,6.0,3.0,0.0,2020.0,단국대학교
189,김동우,5.0,00:54:13,11.0,2.0,3.0,5.0,60.0%,0.0,1.0,0.0%,5.0,7.0,71.4%,2.0,3.0,1.0,1.0,0.2,2.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,2003.0,한양대학교
190,김동우,22.0,12:54:40,522.0,23.0,136.0,234.0,58.1%,53.0,157.0,33.8%,91.0,124.0,73.4%,34.0,43.0,3.0,22.0,1.0,30.0,1.0,0.0,0.0,14.0,8.0,0.0,0.0,19.0,42.0,15.0,22.0,0.0,0.0,2012.0,조선대학교
191,김동우,3.0,01:08:42,34.0,11.0,6.0,20.0,30.0%,2.0,6.0,33.3%,16.0,23.0,69.6%,3.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,1999.0,연세대학교
