,선수명,경기수,전체 출전시간,득점 전체,득점 평균,2점슛 성공,2점슛 시도,2점슛 성공률,3점슛 성공,3점슛 시도,3점슛 성공률,자유투 성공,자유투 시도,자유투 성공률,공격 리바운드,수비 리바운드,평균 리바운드,전체 어시스트,평균 어시스트,스틸,블록,덩크슛 성공,덩크슛 시도,파울(자유튜유),파울(자유투무),IDF,테크니컬 파울,굿디펜스,속공,FBF,턴오버,팀 리바운드,팀 턴오버,대회년도,대학교,대회명
1295,윤도현,13.0,0:14:54,4.0,0.0,2.0,6.0,33.30%,0.0,2.0,0.00%,0.0,0.0,0.00%,1.0,1.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2019.0,동국대학교,대학농구리그
1296,윤도현,3.0,0:06:22,2.0,0.0,1.0,2.0,50.00%,0.0,0.0,0.00%,0.0,0.0,0.00%,0.0,1.0,0.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019.0,동국대학교,MBC배 대학리그
1297,윤명수,2.0,0:38:00,15.0,7.0,3.0,8.0,37.50%,3.0,4.0,75.00%,0.0,0.0,0.00%,0.0,6.0,3.0,1.0,0.5,3.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1999.0,단국대학교,MBC배 대학리그
1298,윤성현,16.0,0:10:00,5.0,0.0,1.0,3.0,33.30%,1.0,2.0,50.00%,0.0,0.0,0.00%,0.0,1.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2019.0,경희대학교,대학농구리그
1299,윤성현,4.0,0:12:18,0.0,0.0,0.0,1.0,0.00%,0.0,2.0,0.00%,0.0,0.0,0.00%,2.0,2.0,1.0,3.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2019.0,경희대학교,MBC배 대학리그
1300,윤성현,3.0,0:22:30,3.0,1.0,0.0,0.0,0.00%,1.0,1.0,100.00%,0.0,0.0,0.00%,0.0,4.0,1.0,2.0,0.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,2020.0,경희대학교,대학농구리그
1301,윤성현,2.0,0:06:59,2.0,1.0,1.0,1.0,100.00%,0.0,2.0,0.00%,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2020.0,경희대학교,대학농구리그
1302,윤성현,3.0,0:04:50,4.0,1.0,2.0,3.0,66.70%,0.0,1.0,0.00%,0.0,2.0,0.00%,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,경희대학교,대학농구리그
1303,윤성현,3.0,0:05:36,2.0,0.0,1.0,2.0,50.00%,0.0,0.0,0.00%,0.0,0.0,0.00%,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2021.0,경희대학교,대학농구리그
1304,윤성환,1.0,0:00:00,0.0,0.0,0.0,0.0,0.00%,0.0,0.0,0.00%,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0,동국대학교,MBC배 대학리그
