,선수명,경기수,전체 출전시간,득점 전체,득점 평균,2점슛 성공,2점슛 시도,2점슛 성공률,3점슛 성공,3점슛 시도,3점슛 성공률,자유투 성공,자유투 시도,자유투 성공률,공격 리바운드,수비 리바운드,평균 리바운드,전체 어시스트,평균 어시스트,스틸,블록,덩크슛 성공,덩크슛 시도,파울(자유튜유),파울(자유투무),IDF,테크니컬 파울,굿디펜스,속공,FBF,턴오버,팀 리바운드,팀 턴오버,대회년도,대학교
205,김동욱,22.0,12643,98.0,4.0,16.0,39.0,410,19.0,45.0,422,9.0,9.0,1000,12.0,30.0,1.0,0.0,0.0,6.0,4.0,0.0,0.0,8.0,4.0,0.0,0.0,4.0,3.0,0.0,7.0,0.0,0.0,2012.0,동국대학교
206,김동욱,16.0,19991,145.0,9.0,15.0,45.0,333,33.0,91.0,363,16.0,19.0,842,19.0,41.0,3.0,7.0,0.4,14.0,4.0,0.0,0.0,8.0,13.0,0.0,0.0,7.0,6.0,3.0,10.0,7.0,2.0,2013.0,동국대학교
207,김동욱,3.0,5582,29.0,9.0,5.0,10.0,500,6.0,22.0,273,1.0,2.0,500,8.0,12.0,6.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,2013.0,동국대학교
208,김동욱,22.0,18667,108.0,4.0,30.0,52.0,577,12.0,36.0,333,12.0,14.0,857,21.0,41.0,2.0,4.0,0.2,8.0,6.0,0.0,0.0,27.0,8.0,0.0,0.0,10.0,5.0,2.0,9.0,0.0,0.0,2011.0,동국대학교
209,김동욱,3.0,6570,45.0,15.0,18.0,40.0,450,1.0,5.0,200,6.0,8.0,750,8.0,23.0,10.0,3.0,1.0,6.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,2.0,0.0,0.0,11.0,0.0,0.0,2001.0,고려대학교
210,김동욱,5.0,11237,125.0,25.0,43.0,81.0,531,5.0,19.0,263,24.0,30.0,800,25.0,38.0,12.0,4.0,0.8,5.0,4.0,0.0,0.0,5.0,7.0,0.0,0.0,6.0,0.0,0.0,16.0,0.0,0.0,2002.0,고려대학교
211,김동욱,3.0,2236,9.0,3.0,1.0,6.0,167,2.0,10.0,200,1.0,2.0,500,5.0,5.0,3.0,1.0,0.3,2.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2011.0,동국대학교
212,김동욱,3.0,1387,6.0,2.0,1.0,3.0,333,0.0,6.0,0,4.0,4.0,1000,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,2012.0,동국대학교
213,김동준,3.0,5602,43.0,14.0,16.0,32.0,500,1.0,12.0,83,8.0,9.0,889,7.0,8.0,5.0,11.0,3.7,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,5.0,3.0,3.0,2.0,0.0,2020.0,경희대학교
214,김동준,3.0,5391,61.0,20.0,22.0,32.0,688,3.0,19.0,158,8.0,10.0,800,3.0,10.0,4.0,11.0,3.7,6.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,8.0,2.0,3.0,1.0,0.0,2021.0,경희대학교
215,김동준,16.0,25203,145.0,9.0,50.0,107.0,467,6.0,28.0,214,27.0,36.0,750,14.0,48.0,3.0,66.0,4.1,33.0,0.0,0.0,0.0,9.0,12.0,0.0,0.0,3.0,21.0,13.0,31.0,16.0,1.0,2019.0,경희대학교
216,김동준,4.0,5581,34.0,8.0,8.0,20.0,400,4.0,11.0,364,6.0,11.0,545,0.0,5.0,1.0,10.0,2.5,2.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,2.0,2.0,4.0,7.0,0.0,2019.0,경희대학교
217,김동준,3.0,6001,49.0,16.0,15.0,25.0,600,5.0,17.0,294,4.0,4.0,1000,2.0,10.0,4.0,27.0,9.0,4.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,8.0,1.0,6.0,4.0,1.0,2020.0,경희대학교
218,김동준,3.0,5728,55.0,18.0,22.0,34.0,647,1.0,10.0,100,8.0,9.0,889,4.0,10.0,4.0,14.0,4.7,6.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,7.0,3.0,4.0,0.0,0.0,2021.0,경희대학교
219,김동준,4.0,6132,44.0,11.0,15.0,26.0,577,3.0,9.0,333,5.0,6.0,833,6.0,12.0,4.0,8.0,2.0,8.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,7.0,2.0,3.0,0.0,0.0,2018.0,경희대학교
220,김동준,16.0,25381,147.0,9.0,44.0,100.0,440,10.0,32.0,313,29.0,49.0,592,18.0,55.0,4.0,59.0,3.7,36.0,2.0,0.0,0.0,16.0,11.0,0.0,0.0,4.0,20.0,11.0,28.0,3.0,0.0,2018.0,경희대학교
221,김동현,10.0,10106,58.0,5.0,22.0,49.0,449,2.0,10.0,200,8.0,17.0,471,21.0,29.0,5.0,3.0,0.3,5.0,2.0,0.0,0.0,10.0,10.0,0.0,0.0,5.0,0.0,0.0,11.0,0.0,0.0,2015.0,한양대학교
222,김동현,6.0,3147,14.0,2.0,6.0,9.0,667,0.0,0.0,0,2.0,4.0,500,5.0,11.0,2.0,5.0,0.8,1.0,5.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2006.0,연세대학교
