,선수명,경기수,전체 출전시간,득점 전체,득점 평균,2점슛 성공,2점슛 시도,2점슛 성공률,3점슛 성공,3점슛 시도,3점슛 성공률,자유투 성공,자유투 시도,자유투 성공률,공격 리바운드,수비 리바운드,평균 리바운드,전체 어시스트,평균 어시스트,스틸,블록,덩크슛 성공,덩크슛 시도,파울(자유튜유),파울(자유투무),테크니컬 파울,굿디펜스,속공,FBF,턴오버,팀 리바운드,팀 턴오버,대회년도,대학교
1124,양재일,-0.56873155,-0.43739343,-0.45695418,-0.5424153,-0.38360244,-0.41332608,0.47276422,-0.43505692,-0.41610515,-0.69230264,-0.35034192,-0.10423723,-0.27418473,-0.5511302,-0.3498574,-0.25665504,-0.22978544,0.042704865,-0.14221913,-0.368265,-0.07178532,-0.09591649,-0.46673036,-0.44293863,-0.124685906,-0.14439434,-0.13414168,-0.39023393,-0.4950073,0.24948426,-0.2684201,2020.0,단국대학교
1125,양준,-0.56873155,-0.39757976,-0.28279012,0.09129308,-0.055362727,-0.038356382,0.34330323,-0.43505692,-0.4727603,-0.69230264,-0.50976527,-0.4327063,-0.95482904,-0.27368966,-0.26851252,0.21004596,-0.34964395,-0.3020919,-0.3503292,0.12758447,-0.07178532,-0.09591649,-0.11789962,-0.28251243,-0.124685906,-0.47883502,-0.43599334,-0.39023393,-0.3599464,-0.35651937,-0.2684201,2021.0,고려대학교
1126,양준,-0.74465245,-0.600161,-0.55647653,-0.7536515,-0.54772234,-0.5799793,-1.23067,-0.43505692,-0.4727603,-0.69230264,-0.35034192,-0.32321662,0.40645957,-0.5511302,-0.593892,-0.72335607,-0.46950248,-0.56068945,-0.55843925,-0.368265,-0.07178532,-0.09591649,-0.64114577,-0.28251243,-0.124685906,-0.47883502,-0.43599334,-0.39023393,-0.6300682,-0.35651937,-0.2684201,2021.0,고려대학교
1127,양준석,-0.56873155,-0.10468589,-0.033984292,0.7250015,0.10875714,0.044970214,0.5851909,-0.05225357,-0.18948463,1.0818205,-0.50976527,-0.4327063,-0.95482904,0.0037508307,-0.10582281,0.67674696,1.4482338,4.007868,-0.3503292,-0.368265,-0.07178532,-0.09591649,0.05651576,-0.122086234,-0.124685906,-0.47883502,-0.13414168,-0.39023393,0.045236256,-0.053517554,-0.2684201,2021.0,연세대학교
1128,양준석,-0.56873155,-0.0069082263,0.065538034,0.9362377,0.026697205,0.044970214,0.3603376,0.33054978,0.037135895,1.276974,-0.50976527,-0.542196,-0.95482904,-0.4124099,0.3009015,1.143448,1.4482338,4.007868,0.69022113,-0.368265,-0.07178532,-0.09591649,-0.292315,-0.28251243,-0.124685906,-0.47883502,-0.13414168,0.7496468,-0.22488552,0.55248606,-0.2684201,2020.0,연세대학교
1129,양준석,-0.56873155,0.073304586,0.2397021,1.5699462,0.10875714,0.1282968,0.37396505,0.52195144,0.15044616,1.3257624,-0.19091861,0.005252462,0.13420184,-0.4124099,-0.26851252,-0.25665504,0.9687997,2.8872783,0.06589094,-0.368265,-0.07178532,-0.09591649,-0.11789962,-0.28251243,-0.124685906,-0.14439434,0.16770999,-0.39023393,0.18029715,-0.053517554,-0.2684201,2021.0,연세대학교
1130,양준석,-0.56873155,-0.09531797,0.14017978,1.1474738,0.10875714,-0.20500958,1.798036,0.33054978,0.15044616,0.9221494,-0.35034192,-0.4327063,1.7677482,-0.4124099,0.13821177,0.67674696,1.8078094,4.8698597,0.06589094,0.12758447,-0.07178532,-0.09591649,-0.11789962,-0.28251243,-0.124685906,-0.47883502,-0.13414168,-0.39023393,-0.3599464,0.24948426,-0.2684201,2020.0,연세대학교
1131,양준석,-0.92057335,-0.58962214,-0.5813571,-0.7536515,-0.54772234,-0.53831595,-1.23067,-0.43505692,-0.41610515,-0.69230264,-0.50976527,-0.542196,-0.95482904,-0.5511302,-0.593892,-0.72335607,-0.46950248,-0.56068945,-0.55843925,-0.368265,-0.07178532,-0.09591649,-0.64114577,-0.6033648,-0.124685906,-0.47883502,-0.43599334,-0.39023393,-0.6300682,-0.35651937,-0.2684201,2003.0,명지대학교
1132,양학성,-0.56873155,-0.46359432,-0.35743186,-0.11994307,-0.54772234,-0.5799793,-1.23067,0.1391481,-0.019519236,0.97093785,-0.50976527,-0.542196,-0.95482904,-0.5511302,-0.51254714,-0.72335607,-0.46950248,-0.56068945,-0.55843925,-0.368265,-0.07178532,-0.09591649,-0.64114577,-0.6033648,-0.124685906,-0.47883502,-0.43599334,-0.39023393,-0.3599464,-0.35651937,-0.2684201,2006.0,조선대학교
1133,양호철,-0.39281067,-0.38191777,-0.48183477,-0.5424153,-0.38360244,-0.49665266,2.1761982,-0.43505692,-0.35945,-0.69230264,-0.50976527,-0.542196,-0.95482904,-0.4124099,-0.51254714,-0.72335607,-0.34964395,-0.3020919,0.274001,-0.368265,-0.07178532,-0.09591649,-0.46673036,-0.6033648,-0.124685906,-0.14439434,-0.43599334,-0.39023393,-0.4950073,-0.35651937,-0.2684201,2002.0,명지대학교
