,Unnamed: 0,경기,년도,순위,선수명,팀,PTS,FG,FGA,FG%,FT,FTA,FT%,PP,PPA,PP%,REB_OFF,REB_DEF,REB_TOT,AST,TO,STL,BS,DF
1211,2117,정규경기,2010-2011,128,류종현,울산모비스,1.8,0.8,2.1,38.4,0.1,0.3,46.2,0.7,1.2,60.4,0.9,1.1,2.0,0.2,0.4,0.3,0.0,2.2
1212,1955,정규경기,2011-2012,126,류종현,울산모비스,1.3,0.6,1.0,57.1,0.1,0.4,40.0,0.5,0.8,63.6,0.9,0.8,1.6,0.2,0.1,0.3,0.1,1.5
1213,5143,플레이오프,2011-2012,64,류종현,울산모비스,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1214,1272,정규경기,2015-2016,160,류지석,부산KT,0.7,0.3,1.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3
1215,6771,D리그 1차,2016 KBL D리그,45,류지석,KT,10.3,4.3,6.3,68.0,1.8,2.5,70.0,0.0,0.0,0.0,2.5,3.0,5.5,0.5,2.8,0.3,0.3,3.0
1216,7783,D리그 2차,2016 KBL D리그,64,류지석,KT,5.0,2.0,3.5,57.1,1.0,2.0,50.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.5
1217,1084,정규경기,2016-2017,163,류지석,부산KT,0.7,0.3,0.9,33.3,0.1,0.2,50.0,0.2,0.7,28.6,0.3,0.3,0.6,0.3,0.0,0.0,0.0,1.0
1218,3450,정규경기,2001-2002,19,르나드 존스,전주KCC,17.0,7.0,12.0,58.3,3.0,3.3,90.0,0.0,0.0,0.0,1.7,3.3,5.0,3.0,2.3,2.3,0.7,3.7
1219,3176,정규경기,2003-2004,48,르대릴 빌링슬리,안양SBS,9.7,3.7,9.0,41.3,2.3,3.9,59.3,0.0,0.0,0.0,4.0,5.1,9.1,1.0,1.4,1.3,0.6,3.0
1220,750,정규경기,2017-2018,14,르브라이언 내쉬,부산KT,18.6,7.1,11.5,56.3,3.8,5.3,71.3,5.7,9.3,61.1,1.1,4.6,5.7,2.1,2.0,0.9,0.4,2.9
1221,1796,정규경기,2012-2013,146,리 네일런,고양오리온스,1.3,0.6,2.4,26.3,0.0,0.0,0.0,0.6,1.8,35.7,0.4,0.3,0.6,0.1,0.8,0.0,0.0,0.3
1222,2809,정규경기,2005-2006,3,리 벤슨,대구오리온스,27.9,12.1,21.8,54.8,3.4,5.1,67.6,0.0,0.0,0.0,4.4,10.3,14.6,1.8,3.4,0.8,1.8,2.4
