,경기,년도,순위,선수명,팀,PTS,FG,FGA,FG%,FT,FTA,FT%,PP,PPA,PP%,REB_OFF,REB_DEF,REB_TOT,AST,TO,STL,BS,DF
4304,정규경기,1998-1999,122,표필상,안양SBS,-0.96047544,-0.9103537,-0.8171097,0.061213836,-0.85137826,-0.8930775,-1.6204273,-0.53075624,-0.5539209,-0.7869104,-0.6437358,-0.67088866,-0.6910672,-0.93355185,-0.91157395,-0.8832111,-0.19153357,-0.4115138
4305,정규경기,1999-2000,89,표필상,안양SBS,-0.7116673,-0.62764114,-0.52223843,0.4712403,-0.7808022,-0.7888553,0.88257605,-0.53075624,-0.5539209,-0.7869104,-0.47348917,-0.41379878,-0.45270184,-0.79988945,-0.72291815,-0.41677395,0.008618152,0.04846331
4306,플레이오프,1999-2000,41,표필상,안양SBS,-0.51814985,-0.52162397,-0.4315088,0.63525087,-0.14561749,-0.21563357,0.7834174,-0.53075624,-0.5539209,-0.7869104,0.20749743,-0.3281021,-0.15474507,-0.7330582,-1.1002297,0.2051422,1.0093768,0.60043585
4307,정규경기,2000-2001,117,표필상,안양SBS,-0.8775394,-0.83967555,-0.68101525,-0.124377064,-0.7102261,-0.6846332,-0.41850492,-0.53075624,-0.5539209,-0.7869104,-0.047872517,-0.028163834,-0.035562333,-0.7330582,-0.72291815,-0.72773206,0.008618152,0.416445
4308,플레이오프,2000-2001,47,표필상,안양SBS,-0.79460335,-0.6983193,-0.6583329,0.92442733,-0.85137826,-0.8930775,-1.6204273,-0.53075624,-0.5539209,-0.7869104,0.80336076,0.31462273,0.50075984,-0.26523995,-0.6285902,-1.0386901,-0.591837,1.52039
4309,정규경기,2017-2018,58,프랭크 로빈슨,창원LG,0.04857985,0.008462142,0.3623754,-0.27543944,0.13668682,0.20125498,0.3507253,0.66556656,1.159637,0.5895109,0.29262078,0.22892606,0.26239437,0.002084778,0.126033,0.36062118,0.20876984,0.416445
4310,정규경기,2011-2012,7,피터 존 라모스,서울삼성,1.9008181,2.37618,2.5625687,0.6956759,0.7012955,0.98292106,0.21550906,4.596341,4.3419585,1.3253543,1.4843473,2.0285556,1.9309523,1.2050462,3.3331816,-0.41677395,1.8099835,1.3363992
4311,정규경기,2006-2007,1,피트 마이클,대구오리온스,3.7807016,3.4363523,3.3110883,0.60503834,5.077012,4.31803,0.90360963,4.482406,4.306988,1.292504,1.4843473,2.5427356,2.2885003,0.80405897,1.7296075,0.9825373,1.2095282,1.3363992
4312,플레이오프,2006-2007,1,피트 마이클,대구오리온스,4.319786,3.9664383,3.5379124,0.63525087,5.1475887,4.1616964,1.0207971,5.849632,5.1113114,1.483035,2.0802107,3.0140672,2.8248227,0.60356545,1.0693121,1.6044537,0.8092249,0.78442675
4313,정규경기,2006-2007,9,필립 리치,부산KTF,1.7349459,1.916772,1.8594143,0.6740956,1.2659041,1.3998097,0.38978788,3.2291155,3.0480478,1.3352093,0.71823746,1.685769,1.3946301,1.0713838,1.6352797,0.36062118,2.010135,0.23245409
4314,플레이오프,2006-2007,4,필립 리치,부산KTF,2.4260798,2.305502,1.7233198,1.0409614,2.8185778,3.6405857,0.17043696,4.1405993,3.3627827,1.6144356,1.4843473,2.1142523,1.9905436,1.0713838,1.7296075,0.04966313,1.8099835,0.60043585
4315,D리그 1차,2017 KBL D리그,32,하도현,오리온,0.17298387,0.2911747,0.67992914,0.14321904,-0.004465288,-0.059300315,0.6331771,1.2922119,1.6841956,0.8555971,1.3141007,0.74310595,0.9774906,0.2694095,1.9182634,-0.72773206,-0.19153357,-0.4115138
4316,D리그 2차,2017 KBL D리그,52,하도현,오리온,-0.26934168,-0.3449286,-0.31809676,0.92442733,0.41899112,0.5660325,0.29062918,0.6085989,0.49519613,1.4041946,0.80336076,0.31462273,0.50075984,0.068915986,0.31468883,-1.0386901,0.40892154,0.416445
4317,정규경기,2017-2018,99,하도현,고양오리온,-0.6701993,-0.62764114,-0.68101525,0.79062927,-0.63965005,-0.6846332,0.92163837,-0.018046461,-0.09930355,1.4567549,-0.5586125,-0.585192,-0.6016802,-0.6662271,-0.817246,-0.8832111,-0.591837,-0.5955046
4318,정규경기,1999-2000,63,하상윤,부산기아,-0.39374578,-0.41560674,-0.52223843,0.08711018,-0.49849787,-0.5283,0.30264845,-0.53075624,-0.5539209,-0.7869104,-0.47348917,-0.67088866,-0.6016802,-0.064746425,-0.34560648,-0.10581585,-0.591837,-0.13552746
4319,플레이오프,1999-2000,54,하상윤,부산기아,-0.89136213,-0.87501466,-0.8171097,0.92442733,-0.63965005,-0.6325221,-0.11802434,-0.53075624,-0.5539209,-0.7869104,-0.6437358,-0.9708269,-0.899637,-0.59939593,-1.1002297,-0.572253,-0.591837,-0.7794955
4320,정규경기,2000-2001,95,하상윤,부산기아,-0.76695794,-0.7689975,-0.7944273,-0.12869324,-0.63965005,-0.6846332,0.56406647,-0.53075624,-0.5539209,-0.7869104,-0.5586125,-0.79943365,-0.7506586,-0.13157755,-0.72291815,-0.41677395,-0.591837,-0.8714909
4321,정규경기,2001-2002,70,하상윤,울산모비스,-0.3799231,-0.38026765,-0.499556,0.5100848,-0.49849787,-0.580411,0.71731174,-0.53075624,-0.5539209,-0.7869104,-0.47348917,-0.75658536,-0.6910672,0.3362407,-0.5342623,0.2051422,-0.591837,-0.22752291
4322,정규경기,2008-2009,40,하승진,전주KCC,0.36650127,0.3971919,0.3850578,0.92442733,0.7012955,1.6082541,-0.26826462,1.5770507,1.3344898,1.4403299,1.2289774,1.5143758,1.4542214,-0.6662271,0.126033,-0.572253,2.010135,-0.043532133
