,선수명,경기수,전체 출전시간,득점 전체,득점 평균,2점슛 성공,2점슛 시도,2점슛 성공률,3점슛 성공,3점슛 시도,3점슛 성공률,자유투 성공,자유투 시도,자유투 성공률,공격 리바운드,수비 리바운드,평균 리바운드,전체 어시스트,평균 어시스트,스틸,블록,덩크슛 성공,덩크슛 시도,파울(자유튜유),파울(자유투무),IDF,테크니컬 파울,굿디펜스,속공,FBF,턴오버,팀 리바운드,팀 턴오버,대회년도,대학교
309,유효수,3,01:34:20,29,9,8,14,57.1%,3,9,33.3%,4,6,66.7%,3,6,3.0,15,5.0,4,1,0,0,0,1,0,0,1,1,3,3,1,2,2020,단국대학교
310,김동우,3,01:17:13,21,7,8,13,61.5%,0,5,0.0%,5,6,83.3%,0,8,2.0,9,3.0,4,0,0,0,2,3,0,0,0,4,0,6,3,0,2020,단국대학교
311,표광일,3,01:13:24,15,5,6,13,46.2%,0,0,0.0%,3,4,75.0%,3,10,4.0,5,1.7,2,2,0,0,7,7,0,0,2,0,0,4,0,0,2020,단국대학교
312,이두호,3,00:42:16,13,4,5,10,50.0%,0,4,0.0%,3,6,50.0%,5,8,4.0,2,0.7,1,1,0,0,2,3,0,0,0,3,1,0,0,0,2020,단국대학교
313,나성호,3,01:02:08,11,3,3,7,42.9%,1,2,50.0%,2,10,20.0%,6,1,2.0,5,1.7,5,0,0,1,6,3,0,0,0,1,2,1,1,1,2020,단국대학교
314,윤원상,3,00:00:00,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,단국대학교
315,김영현,3,00:00:00,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,단국대학교
316,임현택,3,00:00:00,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,단국대학교
317,양재일,3,00:00:00,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,단국대학교
318,조우성,3,01:03:20,47,15,20,28,71.4%,0,1,0.0%,7,15,46.7%,8,15,7.0,1,0.3,2,4,0,0,4,4,0,0,0,1,0,6,0,0,2020,동국대학교
